species_1,species_2,16S,dnaK,fusA,nifH,recA
aaa,afla,1949.5,1666.5,1296.0,,937.5
aaa,afq,2516.5,2467.5,2737.5,,
aaa,agc,2097.5,2347.5,2364.0,,1284.0
aaa,agt,2099.0,2283.0,2305.5,,1234.5
aaa,agv,1828.0,1647.0,2121.0,,1140.0
aaa,aht,2007.0,2224.5,2221.5,,1231.5
aaa,ahu,2147.0,2446.5,2100.0,,1278.0
aaa,ahz,1906.5,1384.5,1611.0,,778.5
aaa,ais,2544.5,2883.0,2695.5,,1476.0
aaa,aji,2022.5,1194.0,2328.0,,1291.5
aaa,ajs,2893.5,3357.0,3222.0,,1789.5
aaa,aka,2535.0,2497.5,1738.5,,1123.5
aaa,alg,2247.0,1981.5,2205.0,,1068.0
aaa,ali,2157.0,2461.5,2128.5,,1273.5
aaa,aln,2252.0,2205.0,2250.0,,1156.5
aaa,alp,2000.0,1216.5,1644.0,,732.0
aaa,als,1898.0,1536.0,1624.5,,774.0
aaa,alti,1940.0,1681.5,1771.5,,873.0
aaa,alv,2266.5,2584.5,1599.0,,1383.0
aaa,amah,2398.0,2571.0,2728.5,,1362.0
aaa,amc,2211.0,1938.0,1831.5,,1042.5
aaa,ame,,1332.0,1186.5,,
aaa,amh,2216.0,1942.5,1831.5,,1033.5
aaa,ami,2050.0,1509.0,1647.0,,1321.5
aaa,amih,2117.0,2373.0,1663.5,,1251.0
aaa,amol,1991.5,1183.5,1647.0,,706.5
aaa,amr,2068.5,1572.0,1365.0,,927.0
aaa,ams,2023.5,1530.0,1714.5,,1248.0
aaa,amv,2147.0,2448.0,2307.0,,1363.5
aaa,amyb,2036.5,1392.0,1645.5,,1290.0
aaa,amyy,2032.5,2092.5,1681.5,,1272.0
aaa,ane,1975.5,2134.5,2356.5,,1161.0
aaa,anp,1907.0,1617.0,1296.0,,850.5
aaa,ant,1996.0,1279.5,1681.5,,753.0
aaa,aoa,2436.0,2793.0,1594.5,,1531.5
aaa,aol,2095.0,2368.5,2350.5,,1282.5
aaa,aon,2724.0,3178.5,3378.0,,1629.0
aaa,aos,1974.5,2106.0,2347.5,,1168.5
aaa,apac,2252.0,2472.0,2533.5,,1297.5
aaa,ape,1477.5,,,,
aaa,apn,2003.5,2058.0,1609.5,,1240.5
aaa,apoc,1953.5,1236.0,1668.0,,700.5
aaa,apom,2113.5,2052.0,2082.0,,1029.0
aaa,app,2556.0,2508.0,1605.0,,1312.5
aaa,apre,2033.0,1522.5,1636.5,,1326.0
aaa,aprs,2326.0,2298.0,2458.5,,1264.5
aaa,aqa,1905.0,1438.5,1582.5,,741.0
aaa,aql,2495.0,2673.0,2781.0,,1360.5
aaa,aqs,2514.5,2541.0,2706.0,,1342.5
aaa,arc,1990.5,1216.5,1671.0,,730.5
aaa,arl,2010.0,2008.5,2272.5,,1179.0
aaa,arm,1988.5,2058.0,2238.0,,1179.0
aaa,aro,2106.5,2314.5,2341.5,,1254.0
aaa,art,2005.0,2037.0,1599.0,,1233.0
aaa,artp,2014.5,2059.5,2326.5,,1257.0
aaa,aru,2004.5,2022.0,2314.5,,1252.5
aaa,ary,2013.0,2008.5,2268.0,,1177.5
aaa,asc,1422.5,,,,
aaa,asd,2023.0,1936.5,2172.0,,1128.0
aaa,asip,2232.0,2046.0,2274.0,,1176.0
aaa,ask,1941.0,1242.0,1627.5,,709.5
aaa,asl,1736.5,1477.5,1681.5,,901.5
aaa,asv,2113.5,2046.0,2091.0,,1032.0
aaa,asw,2545.5,2853.0,2818.5,,1456.5
aaa,ata,2098.5,2277.0,2301.0,,1231.5
aaa,atp,1961.0,1242.0,1638.0,,703.5
aaa,atu,2097.0,2281.5,2317.5,,1240.5
aaa,atw,2452.0,2733.0,2833.5,,1435.5
aaa,ava,2007.5,1635.0,1959.0,,895.5
aaa,axy,2557.5,2901.0,2809.5,,1489.5
aaa,aza,2553.0,1801.5,1618.5,,1468.5
aaa,azc,2116.5,2460.0,2317.5,,1377.0
aaa,azd,2532.5,2770.5,1671.0,,1494.0
aaa,azi,2547.0,2746.5,1627.5,,1501.5
aaa,azl,2158.5,2440.5,1612.5,,1287.0
aaa,azm,2152.5,2449.5,2130.0,,1318.5
aaa,azo,2554.5,2781.0,1612.5,,1524.0
aaa,azq,2539.0,2776.5,2827.5,,1491.0
aaa,azr,2549.0,2794.5,1596.0,,1537.5
aaa,azt,2132.0,2496.0,1641.0,,1329.0
aaa,azz,2152.5,2466.0,2158.5,,1300.5
aaa,babb,2127.5,2325.0,2236.5,,1149.0
aaa,babr,2127.5,2328.0,2236.5,,1149.0
aaa,bac,2585.5,2914.5,3043.5,,1443.0
aaa,bacb,2061.0,1624.5,1947.0,,933.0
aaa,bacl,2061.5,1554.0,1884.0,,943.5
aaa,baco,2075.5,1612.5,2007.0,,1015.5
aaa,bacp,2059.5,1627.5,1953.0,,940.5
aaa,bacs,2056.5,1612.5,1960.5,,949.5
aaa,bacy,2054.5,1561.5,1884.0,,946.5
aaa,bae,2048.5,1579.5,1915.5,,933.0
aaa,bag,2075.0,1674.0,1974.0,,1033.5
aaa,bage,2237.0,2089.5,2334.0,,1059.0
aaa,bah,1995.5,1429.5,1860.0,,387.0
aaa,bai,1997.0,1429.5,1863.0,,387.0
aaa,bao,2066.5,1596.0,1936.5,,955.5
aaa,bapi,2103.5,1887.0,1929.0,,1035.0
aaa,baq,2071.0,1626.0,1953.0,,936.0
aaa,bar,1992.0,1429.5,1863.0,,
aaa,bast,1954.5,2089.5,2319.0,,1236.0
aaa,bat,1999.5,1429.5,1863.0,,820.5
aaa,bax,2073.0,1429.5,1867.5,,387.0
aaa,bay,2059.0,1639.5,1941.0,,939.0
aaa,baz,2051.5,1605.0,1936.5,,955.5
aaa,bbet,2095.5,2341.5,1614.0,,1300.5
aaa,bbh,2552.5,2950.5,3034.5,,1510.5
aaa,bbm,2549.5,2947.5,3040.5,,1510.5
aaa,bbr,2552.5,2950.5,3034.5,,1513.5
aaa,bbt,2097.0,2358.0,1620.0,,1293.0
aaa,bby,2065.0,1435.5,1863.0,,
aaa,bcad,1939.5,1554.0,1728.0,,847.5
aaa,bce,1982.0,1441.5,1863.0,,838.5
aaa,bcl,2087.5,1569.0,1908.0,,924.0
aaa,bfr,1863.0,1636.5,1468.5,,942.0
aaa,bja,2092.0,2365.5,2394.0,,1324.5
aaa,bjs,2071.0,1567.5,1899.0,,922.5
aaa,bju,2095.0,2341.5,1650.0,,1285.5
aaa,bld,2071.0,1744.5,1965.0,,1006.5
aaa,blh,2070.5,1728.0,1960.5,,1006.5
aaa,bli,2066.0,1744.5,1965.0,,1006.5
aaa,bly,1978.0,2001.0,2277.0,,1248.0
aaa,bma,2495.0,2905.5,2839.5,,1465.5
aaa,bmab,2575.5,2905.5,3028.5,,1465.5
aaa,bmyc,2055.5,1417.5,1836.0,,796.5
aaa,bnc,1912.0,1420.5,1863.0,,379.5
aaa,boz,2545.5,2527.5,2728.5,,1279.5
aaa,bpa,2552.5,2944.5,3028.5,,1510.5
aaa,bpz,2578.5,2905.5,2839.5,,1468.5
aaa,bql,2068.0,1605.0,1936.5,,955.5
aaa,bqy,2061.0,1572.0,1711.5,,903.0
aaa,bra,2100.0,2371.5,2370.0,,1305.0
aaa,bsau,1970.0,2142.0,2364.0,,1276.5
aaa,bsui,1984.0,2325.0,2236.5,,1137.0
aaa,bth,1643.0,1660.5,1360.5,,907.5
aaa,btr,2100.5,1588.5,1789.5,,858.0
aaa,bxe,2462.5,2893.5,2956.5,,1395.0
aaa,cac,915.0,1281.0,1627.5,,754.5
aaa,cau,1922.0,1717.5,2104.5,,1096.5
aaa,cgl,2025.5,1861.5,2112.0,,1059.0
aaa,cko,294.0,2143.5,2403.0,,1188.0
aaa,ctu,2260.5,2256.0,2391.0,,1221.0
aaa,ddn,2113.0,2421.0,1896.0,,1318.5
aaa,dha,,1509.0,1348.5,,
aaa,dse,,1972.5,1581.0,,
aaa,eco,2231.0,2181.0,2410.5,,1171.5
aaa,ent,2219.5,2166.0,2506.5,,1114.5
aaa,esa,297.0,2247.0,2377.5,,1207.5
aaa,fjo,1944.0,1473.0,1594.5,,769.5
aaa,gme,2173.0,2368.5,2170.5,,1251.0
aaa,hde,2179.5,1705.5,2022.0,,862.5
aaa,hpy,1958.5,1495.5,1926.0,,843.0
aaa,kpn,2189.5,2227.5,2604.0,,1213.5
aaa,lap,2109.5,2289.0,1555.5,,1242.0
aaa,lmo,2055.0,1408.5,1870.5,,798.0
aaa,mag,2166.0,2484.0,1705.5,,1315.5
aaa,mcp,1995.5,1020.0,1536.0,,516.0
aaa,mlo,2100.5,2425.5,2401.5,,1320.0
aaa,mmu,,1636.5,1555.5,,
aaa,mtu,2038.5,1983.0,1669.5,,700.5
aaa,mxa,2127.0,1527.0,2104.5,,1279.5
aaa,nfa,2027.0,1369.5,1734.0,,1285.5
aaa,nme,,2281.5,2346.0,,1234.5
aaa,nos,2015.0,1527.0,1606.5,,847.5
aaa,npc,2007.5,2098.5,2326.5,,1243.5
aaa,nwi,2098.0,2274.0,2257.5,,1275.0
aaa,pae,2283.5,2599.5,2572.5,,1338.0
aaa,pam,2224.5,2241.0,2388.0,,1101.0
aaa,paq,2251.5,2239.5,2386.5,,1104.0
aaa,par,2175.0,1795.5,2137.5,,961.5
aaa,pcr,2180.5,1809.0,2136.0,,958.5
aaa,pdo,1939.0,2041.5,2314.5,,1128.0
aaa,pfl,2270.0,2391.0,2395.5,,1248.0
aaa,pmh,1980.0,1123.5,1630.5,,763.5
aaa,pps,,1543.5,1437.0,,
aaa,ppu,2278.5,2455.5,2433.0,,1267.5
aaa,psa,942.5,2544.0,2389.5,,1224.0
aaa,rbd,2291.0,2601.0,2698.5,,1432.5
aaa,rfr,2808.0,1749.0,1585.5,,1557.0
aaa,rhc,2064.0,2343.0,1539.0,,1252.5
aaa,rpa,2100.0,2347.5,2382.0,,1333.5
aaa,rso,2518.5,3000.0,3126.0,,1537.5
aaa,sau,2028.0,1320.0,1750.5,,721.5
aaa,sco,2011.5,2179.5,1728.0,,1287.0
aaa,sfr,2273.5,1729.5,2092.5,,939.0
aaa,sil,2030.0,2350.5,2284.5,,1255.5
aaa,slr,1911.0,1899.0,1711.5,,1053.0
aaa,son,2253.0,1912.5,2223.0,,997.5
aaa,spe,2236.0,2221.5,2661.0,,1159.5
aaa,spy,1703.0,1392.0,1911.0,,828.0
aaa,srr,2231.0,2271.0,2727.0,,1158.0
aaa,syn,2016.0,1597.5,1332.0,,948.0
aaa,tpo,1871.5,1717.5,1530.0,,943.5
aaa,ttu,2180.0,2049.0,2233.5,,1071.0
aaa,vch,2210.5,2007.0,2187.0,,994.5
aaa,vpa,2068.5,1861.5,1780.5,,1018.5
aaa,wbr,2157.5,1314.0,1528.5,,654.0
aaa,xcc,2327.5,2548.5,2632.5,,1353.0
aaa,xoo,2324.5,2556.0,2565.0,,1315.5
aaci,aaa,1998.0,2134.5,2361.0,,1309.5
aaci,aaci,3092.0,3720.0,4194.0,,2100.0
aaci,aalg,1915.0,1513.5,1536.0,,864.0
aaci,aamb,1518.0,,,,
aaci,aaq,2541.0,2398.5,2377.5,,1239.0
aaci,aaqi,1922.5,1101.0,1413.0,,699.0
aaci,aaqu,1975.5,1803.0,2086.5,,
aaci,aasc,2039.0,1824.0,1941.0,,976.5
aaci,aba,2035.0,1488.0,2230.5,,1179.0
aaci,abo,2081.5,1776.0,1981.5,,1068.0
aaci,ace,2474.5,2364.0,2578.5,,1300.5
aaci,acet,2045.0,1849.5,1927.5,,987.0
aaci,achr,1979.0,2112.0,2401.5,,1291.5
aaci,acib,1874.5,1099.5,1474.5,,685.5
aaci,acid,2010.0,2038.5,2223.0,,1260.0
aaci,acii,2128.0,1945.5,2311.5,,1224.0
aaci,acin,2014.5,2019.0,2241.0,,1254.0
aaci,acio,2022.5,1983.0,2196.0,,1228.5
aaci,acip,2010.0,2020.5,2230.5,,1236.0
aaci,acis,2010.0,2020.5,2230.5,,1236.0
aaci,ack,2029.5,1980.0,2227.5,,1225.5
aaci,acom,2092.5,2041.5,1597.5,,1191.0
aaci,acr,2019.0,2163.0,2332.5,,1234.5
aaci,acra,2006.0,1966.5,2284.5,,1257.0
aaci,acry,2541.0,2427.0,2511.0,,1219.5
aaci,acto,2424.5,2524.5,2776.5,,1375.5
aaci,actt,2486.5,2185.5,2398.5,,
aaci,acu,1925.5,1960.5,2257.5,,1156.5
aaci,ade,2104.0,1488.0,2568.0,,1119.0
aaci,adi,2082.0,1951.5,2227.5,,1185.0
aaci,adk,1986.0,2140.5,2446.5,,1330.5
aaci,adn,1986.0,2137.5,2446.5,,1324.5
aaci,adt,1982.5,2104.5,2386.5,,1285.5
aaci,aeb,2582.5,2526.0,2881.5,,1389.0
aaci,aeh,2173.5,2148.0,2409.0,,1266.0
aaci,aei,2017.0,1362.0,1738.5,,823.5
aaci,aep,1891.0,1995.0,2338.5,,1123.5
aaci,aev,1942.0,1414.5,1572.0,,861.0
aaci,aez,2600.5,2590.5,2890.5,,1408.5
aaci,afa,1985.5,1813.5,2116.5,,1144.5
aaci,afc,1889.5,1126.5,1426.5,,694.5
aaci,afi,2045.5,1828.5,1965.0,,1173.0
aaci,afla,1890.0,1471.5,1213.5,,864.0
aaci,afq,1981.5,1801.5,2083.5,,
aaci,agc,1988.5,2058.0,2346.0,,1141.5
aaci,agt,2038.0,1999.5,2265.0,,1095.0
aaci,agv,1926.0,1735.5,2239.5,,1164.0
aaci,aht,1902.5,1996.5,2242.5,,1128.0
aaci,ahu,2063.5,2155.5,2124.0,,1191.0
aaci,ahz,1866.5,1267.5,1429.5,,745.5
aaci,ais,1975.0,2040.0,2206.5,,1215.0
aaci,aji,2965.0,1272.0,3712.5,,1731.0
aaci,ajs,2015.0,2079.0,2310.0,,1287.0
aaci,aka,1983.5,1761.0,1327.5,,910.5
aaci,alg,2001.5,1623.0,1822.5,,1033.5
aaci,ali,2042.0,2181.0,2181.0,,1206.0
aaci,aln,2086.0,1776.0,1984.5,,1074.0
aaci,alp,1943.5,1119.0,1438.5,,723.0
aaci,als,1925.5,1323.0,1477.5,,792.0
aaci,alti,1900.0,1576.5,1573.5,,852.0
aaci,alv,2057.0,2091.0,1737.0,,1270.5
aaci,amah,1933.5,1896.0,2191.5,,1210.5
aaci,amc,1956.5,1579.5,1678.5,,945.0
aaci,ame,,1147.5,1107.0,,
aaci,amh,1963.0,1578.0,1678.5,,934.5
aaci,ami,2568.0,1524.0,1689.0,,1416.0
aaci,amih,2003.5,2148.0,1783.5,,1177.5
aaci,amol,1900.5,1090.5,1443.0,,691.5
aaci,amr,2027.0,1510.5,1344.0,,921.0
aaci,ams,2565.5,1537.5,1822.5,,1413.0
aaci,amv,2026.0,2164.5,2338.5,,1233.0
aaci,amyb,2511.0,1387.5,1704.0,,1417.5
aaci,amyy,2480.0,2497.5,1765.5,,1410.0
aaci,ane,2495.0,2548.5,2746.5,,1345.5
aaci,anp,1877.5,1446.0,1216.5,,808.5
aaci,ant,1926.0,1116.0,1468.5,,751.5
aaci,aoa,1929.5,2122.5,1645.5,,1275.0
aaci,aol,2011.5,2149.5,2326.5,,1189.5
aaci,aon,2018.0,2088.0,2362.5,,1278.0
aaci,aos,2513.5,2553.0,2736.0,,1363.5
aaci,apac,2060.5,2007.0,2197.5,,1216.5
aaci,ape,1547.0,,,,
aaci,apn,2550.0,2425.5,1641.0,,1309.5
aaci,apoc,1888.0,1107.0,1468.5,,681.0
aaci,apom,2045.0,1849.5,1927.5,,987.0
aaci,app,2006.0,1930.5,1660.5,,1212.0
aaci,apre,2621.5,1540.5,1698.0,,1426.5
aaci,aprs,2160.0,1869.0,2200.5,,1170.0
aaci,aqa,1854.5,1321.5,1440.0,,759.0
aaci,aql,2005.0,1933.5,2212.5,,1212.0
aaci,aqs,2041.0,1902.0,2155.5,,1197.0
aaci,arc,1946.0,1104.0,1402.5,,691.5
aaci,arl,2556.5,2370.0,2469.0,,1243.5
aaci,arm,2494.5,2382.0,2365.5,,1221.0
aaci,aro,2044.0,2046.0,2262.0,,1105.5
aaci,art,2523.0,2377.5,1641.0,,1279.5
aaci,artp,2552.0,2424.0,2524.5,,1300.5
aaci,aru,2545.0,2413.5,2538.0,,1324.5
aaci,ary,2556.5,2361.0,2460.0,,1243.5
aaci,asc,1513.0,,,,
aaci,asd,2535.0,2208.0,2512.5,,1218.0
aaci,asip,1997.0,1639.5,1942.5,,1122.0
aaci,ask,1902.5,1141.5,1465.5,,682.5
aaci,asl,1689.0,1357.5,1498.5,,849.0
aaci,asv,2045.0,1849.5,1935.0,,990.0
aaci,asw,1971.5,2007.0,2295.0,,1255.5
aaci,ata,2040.5,1999.5,2262.0,,1093.5
aaci,atp,1882.0,1126.5,1467.0,,681.0
aaci,atu,2028.5,2031.0,2287.5,,1101.0
aaci,atw,1996.5,2112.0,2359.5,,1237.5
aaci,ava,1966.0,1600.5,1749.0,,843.0
aaci,axy,1965.5,2053.5,2308.5,,1264.5
aaci,aza,2015.0,1830.0,1708.5,,1257.0
aaci,azc,1979.0,2188.5,2406.0,,1239.0
aaci,azd,2047.0,2071.5,1707.0,,1266.0
aaci,azi,2031.5,2047.5,1692.0,,1264.5
aaci,azl,2037.5,2161.5,1671.0,,1210.5
aaci,azm,2063.0,2161.5,2191.5,,1218.0
aaci,azo,2034.5,2130.0,1656.0,,1275.0
aaci,azq,2050.5,2160.0,2290.5,,1290.0
aaci,azr,2042.5,2125.5,1653.0,,1263.0
aaci,azt,2086.0,2173.5,1773.0,,1221.0
aaci,azz,2117.0,2211.0,2227.5,,1227.0
aaci,babb,2033.5,2070.0,2113.5,,1131.0
aaci,babr,2033.5,2071.5,2113.5,,1131.0
aaci,bac,1977.0,2044.5,2320.5,,1258.5
aaci,bacb,2154.5,1710.0,1815.0,,951.0
aaci,bacl,2135.5,1645.5,1788.0,,948.0
aaci,baco,2124.0,1645.5,1930.5,,1053.0
aaci,bacp,2156.0,1708.5,1815.0,,963.0
aaci,bacs,2154.5,1681.5,1819.5,,979.5
aaci,bacy,2149.5,1633.5,1788.0,,945.0
aaci,bae,2155.5,1656.0,1813.5,,967.5
aaci,bag,2140.0,1710.0,1906.5,,1009.5
aaci,bage,2021.5,1659.0,1971.0,,1042.5
aaci,bah,2047.0,1455.0,1746.0,,387.0
aaci,bai,2050.0,1455.0,1746.0,,387.0
aaci,bao,2115.0,1681.5,1804.5,,970.5
aaci,bapi,2066.5,1672.5,1848.0,,975.0
aaci,baq,2116.5,1692.0,1818.0,,960.0
aaci,bar,2046.5,1455.0,1746.0,,
aaci,bast,2337.5,2449.5,2608.5,,1324.5
aaci,bat,2054.0,1455.0,1746.0,,838.5
aaci,bax,2121.5,1455.0,1747.5,,387.0
aaci,bay,2149.5,1701.0,1813.5,,957.0
aaci,baz,2157.0,1681.5,1804.5,,970.5
aaci,bbet,1997.0,2142.0,1732.5,,1207.5
aaci,bbh,1981.5,2091.0,2353.5,,1317.0
aaci,bbm,1984.5,2092.5,2347.5,,1314.0
aaci,bbr,1981.5,2091.0,2353.5,,1320.0
aaci,bbt,1994.0,2103.0,1677.0,,1197.0
aaci,bby,2161.5,1461.0,1752.0,,
aaci,bcad,1962.5,1417.5,1603.5,,822.0
aaci,bce,2057.5,1462.5,1755.0,,847.5
aaci,bcl,2182.5,1695.0,1783.5,,943.5
aaci,bfr,1865.0,1516.5,1449.0,,876.0
aaci,bja,1987.5,2173.5,2335.5,,1219.5
aaci,bjs,2113.5,1641.0,1792.5,,928.5
aaci,bju,2007.0,2143.5,1759.5,,1192.5
aaci,bld,2104.5,1791.0,1867.5,,1029.0
aaci,blh,2096.5,1770.0,1860.0,,1023.0
aaci,bli,2122.0,1791.0,1867.5,,1029.0
aaci,bly,2467.5,2340.0,2551.5,,1359.0
aaci,bma,1897.0,2028.0,2422.5,,1203.0
aaci,bmab,1968.5,2028.0,2326.5,,1203.0
aaci,bmyc,2122.0,1440.0,1731.0,,823.5
aaci,bnc,1963.5,1440.0,1753.5,,381.0
aaci,boz,1983.5,1788.0,2133.0,,1111.5
aaci,bpa,1981.5,2092.5,2344.5,,1317.0
aaci,bpz,1971.5,2031.0,2422.5,,1207.5
aaci,bql,2118.0,1681.5,1804.5,,970.5
aaci,bqy,2148.5,1647.0,1593.0,,919.5
aaci,bra,2004.5,2166.0,2310.0,,1194.0
aaci,bsau,2510.5,2470.5,2691.0,,1392.0
aaci,bsui,1918.5,2068.5,2110.5,,1125.0
aaci,bth,1595.5,1512.0,1276.5,,898.5
aaci,btr,2065.0,1419.0,1642.5,,805.5
aaci,bxe,1897.5,1936.5,2259.0,,1183.5
aaci,cac,932.0,1233.0,1531.5,,760.5
aaci,cau,1927.0,1662.0,2151.0,,1101.0
aaci,cgl,2485.0,2260.5,2413.5,,1149.0
aaci,cko,206.0,1723.5,2004.0,,1105.5
aaci,ctu,2013.5,1759.5,2056.5,,1119.0
aaci,ddn,2037.0,2220.0,1890.0,,1260.0
aaci,dha,,1431.0,1258.5,,
aaci,dse,,1729.5,1473.0,,
aaci,eco,2000.5,1699.5,2011.5,,1102.5
aaci,ent,1999.5,1704.0,2008.5,,1026.0
aaci,esa,212.0,1747.5,2047.5,,1113.0
aaci,fjo,1893.5,1350.0,1473.0,,766.5
aaci,gme,2175.0,2163.0,2002.5,,1212.0
aaci,hde,1973.0,1362.0,1656.0,,843.0
aaci,hpy,1903.5,1317.0,1770.0,,837.0
aaci,kpn,2028.0,1752.0,2170.5,,1129.5
aaci,lap,2029.0,2047.5,1578.0,,1161.0
aaci,lmo,2106.5,1477.5,1717.5,,810.0
aaci,mag,2049.5,2142.0,1701.0,,1179.0
aaci,mcp,2000.5,1012.5,1360.5,,546.0
aaci,mlo,1994.5,2128.5,2391.0,,1213.5
aaci,mmu,,1399.5,1566.0,,
aaci,mtu,2532.5,2361.0,1684.5,,786.0
aaci,mxa,2073.5,1428.0,2173.5,,1206.0
aaci,nfa,2558.5,1422.0,1762.5,,1459.5
aaci,nme,,1765.5,1834.5,,1126.5
aaci,nos,1931.5,1453.5,1482.0,,819.0
aaci,npc,2573.5,2598.0,2845.5,,1411.5
aaci,nwi,2008.5,2061.0,2253.0,,1155.0
aaci,pae,2002.0,2095.5,2473.5,,1248.0
aaci,pam,1994.0,1732.5,1963.5,,1062.0
aaci,paq,1986.5,1729.5,1963.5,,1057.5
aaci,par,1976.0,1494.0,1705.5,,898.5
aaci,pcr,1986.0,1497.0,1689.0,,927.0
aaci,pdo,2361.0,2379.0,2460.0,,1218.0
aaci,pfl,1975.0,1945.5,2188.5,,1165.5
aaci,pmh,1994.0,1158.0,1525.5,,708.0
aaci,pps,,1348.5,1413.0,,
aaci,ppu,1971.5,1983.0,2170.5,,1170.0
aaci,psa,944.5,2109.0,2269.5,,1135.5
aaci,rbd,2012.5,2098.5,2322.0,,1242.0
aaci,rfr,2033.0,1788.0,1600.5,,1227.0
aaci,rhc,1937.0,2109.0,1563.0,,1215.0
aaci,rpa,2024.0,2127.0,2332.5,,1230.0
aaci,rso,1908.5,2106.0,2356.5,,1273.5
aaci,sau,2123.0,1348.5,1609.5,,795.0
aaci,sco,2496.5,2614.5,1791.0,,1402.5
aaci,sfr,1980.0,1450.5,1690.5,,888.0
aaci,sil,1928.5,2076.0,2244.0,,1192.5
aaci,slr,1910.0,1732.5,1767.0,,1047.0
aaci,son,1982.0,1566.0,1795.5,,982.5
aaci,spe,1978.5,1723.5,2103.0,,1120.5
aaci,spy,1708.0,1441.5,1741.5,,829.5
aaci,srr,1976.5,1798.5,2155.5,,1134.0
aaci,syn,2012.0,1579.5,1329.0,,924.0
aaci,tpo,1893.0,1596.0,1501.5,,886.5
aaci,ttu,1993.0,1728.0,1986.0,,997.5
aaci,vch,1962.0,1600.5,1846.5,,901.5
aaci,vpa,1868.0,1537.5,1650.0,,904.5
aaci,wbr,1921.0,1030.5,1251.0,,646.5
aaci,xcc,2052.0,2073.0,2332.5,,1210.5
aaci,xoo,2055.0,2055.0,2277.0,,1158.0
aalg,aaa,1940.0,1606.5,1707.0,,891.0
aalg,aaci,1915.0,1513.5,1536.0,,864.0
aalg,aalg,3024.0,3822.0,4266.0,,2016.0
aalg,aamb,1421.0,,,,
aalg,aaq,1938.5,1498.5,1690.5,,915.0
aalg,aaqi,1863.0,1837.5,2104.5,,997.5
aalg,aaqu,1851.5,1789.5,1797.0,,
aalg,aasc,1867.0,1735.5,1725.0,,1000.5
aalg,aba,1864.5,1399.5,1674.0,,879.0
aalg,abo,1947.0,1734.0,1929.0,,925.5
aalg,ace,1891.5,1488.0,1654.5,,880.5
aalg,acet,1873.0,1749.0,1771.5,,987.0
aalg,achr,1858.0,1623.0,1668.0,,877.5
aalg,acib,1834.5,1861.5,2115.0,,1006.5
aalg,acid,1923.5,1626.0,1725.0,,877.5
aalg,acii,2017.5,1680.0,1726.5,,867.0
aalg,acin,1923.5,1615.5,1725.0,,888.0
aalg,acio,1936.0,1656.0,1786.5,,892.5
aalg,acip,1923.5,1606.5,1716.0,,874.5
aalg,acis,1923.5,1606.5,1716.0,,874.5
aalg,ack,1932.5,1660.5,1749.0,,897.0
aalg,acom,1935.5,1608.0,1149.0,,945.0
aalg,acr,1922.0,1647.0,1566.0,,897.0
aalg,acra,1939.0,1681.5,1719.0,,892.5
aalg,acry,1898.0,1501.5,1642.5,,901.5
aalg,acto,1901.5,1444.5,1527.0,,792.0
