	seqid	from_soil	Up0	Up1	Up2	Up3	Up4	Up5	Up6	Up7	Up8	Up9	Up10	Up11	id	status	prot_name	taxidstr	taxid	scientific_name	rank	superkingdom	kingdom	phylum	class	order	family	genus	species	full_lineage	group4	group8	ra_inf_g4	ra_inf_g8
10	A0A7V2AK69|unreviewed|4Fe-4S	False	-0.08195211748958489	-0.0003960276286698609	0.008249485176870092	-0.015850581364837024	0.005253708324572426	-0.007070159710834079	0.005203347194625227	0.0002704918239122663	-0.005776946924046321	-0.016123193517092717	0.024931595601585886	0.04515648238612798	A0A7V2AK69	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2026786	2026786.0	Rhodospirillales bacterium	species		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodospirillales			Rhodospirillales bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; unclassified Rhodospirillales				
11	A0A2D6K6N5|unreviewed|4Fe-4S	False	-0.07761700929711726	-0.0008191445356352539	0.008757835608267463	-0.01607296369886565	0.0047238698609689015	-0.007035867032890145	0.01953530474586967	-0.0005815682815130195	-0.007622959314185211	-0.01396559400230423	0.02564072877753455	0.04668369184982614	A0A2D6K6N5	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2024893	2024893.0	Acidiferrobacteraceae bacterium	species		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae		Acidiferrobacteraceae bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Acidiferrobacterales; Acidiferrobacteraceae; unclassified Acidiferrobacteraceae				
12	A0A2D6K8E1|unreviewed|4Fe-4S	False	-0.0776163509779424	-0.0008201797509142959	0.008753466334819174	-0.016073710886389578	0.0047250806314065325	-0.007036936978600843	0.019535960881813978	-0.0005828729217805213	-0.007622550144383329	-0.013965434397675166	0.025643291243116813	0.046684225312434754	A0A2D6K8E1	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2024893	2024893.0	Acidiferrobacteraceae bacterium	species		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae		Acidiferrobacteraceae bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Acidiferrobacterales; Acidiferrobacteraceae; unclassified Acidiferrobacteraceae				
13	A0A2D6JYX6|unreviewed|nitrate	False	-0.07829472611591429	-0.0005318206791930838	0.009296655099273497	-0.016124207356579195	0.004451653862340206	-0.0072680088030955105	0.019945790523799547	-7.373626234513653e-05	-0.009193059278744326	-0.014819587855325788	0.025451764670359218	0.050910301502887445	A0A2D6JYX6	unreviewed	nitrate reductase (quinone)	taxID:1898112	1898112.0	Rhodospirillaceae bacterium	species		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		Rhodospirillaceae bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; unclassified Rhodospirillaceae				
14	A0A2D6FZ31|unreviewed|4Fe-4S	False	-0.07762718717039327	-0.000835399896459523	0.008407057632885106	-0.016276337773337316	0.0045542794068045775	-0.007197191553689196	0.019524171782246164	-0.0003074847372967598	-0.007760525396266141	-0.014915183178980374	0.024501115552770198	0.04748979522456955	A0A2D6FZ31	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:1898112	1898112.0	Rhodospirillaceae bacterium	species		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		Rhodospirillaceae bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; unclassified Rhodospirillaceae				
15	A0A381TAJ5|unreviewed|4Fe-4S	False	-0.0823112872526609	-0.00058908203732203	0.007982478309219524	-0.004005258889642574	0.0053935502876108245	-0.00643607030187213	0.01941416210933618	0.0005335194043635063	-0.00835758305618322	-0.01456935466465554	0.024594393568580702	0.04934819166207108	A0A381TAJ5	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:408172	408172.0	marine metagenome	species								marine metagenome	unclassified entries; unclassified sequences; metagenomes; ecological metagenomes				
16	A0A940CKS9|unreviewed|4Fe-4S	False	-0.08049136050828322	-0.0012632737986413328	0.008981467694653768	-0.016374818073937418	0.004483380868776992	-0.008085518194134896	0.012292626695632684	-0.0003429032518226967	-0.007526773302079944	-0.01647417208362963	0.02371046056743204	0.04845173030707793	A0A940CKS9	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2026775	2026775.0	Pelagibacteraceae bacterium	species		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae		Pelagibacteraceae bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Candidatus Pelagibacterales; Candidatus Pelagibacteraceae; unclassified Pelagibacteraceae				
17	A0A381VFI8|unreviewed|4Fe-4S	False	-0.08681137658293483	-0.000796915296150365	0.009055989336685182	-0.017377825932220255	0.0044600425368265485	-0.007678787875723346	-0.03299190692456543	-0.0012623951975611332	-0.005833754084030059	-0.014867083696483058	0.025142716021940376	0.035583038965678285	A0A381VFI8	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:408172	408172.0	marine metagenome	species								marine metagenome	unclassified entries; unclassified sequences; metagenomes; ecological metagenomes				
18	A0A940HZ16|unreviewed|nitrate	False	-0.0786930545352999	-0.0010927537010892681	0.008812211826341121	-0.016595670110754725	0.00489531324935859	-0.008415685667968412	0.019442781291697145	0.0006070249564689872	-0.008423552057388503	-0.01610811644210517	0.02294942489330098	0.050307325642335775	A0A940HZ16	unreviewed	nitrate reductase (quinone)	taxID:2026775	2026775.0	Pelagibacteraceae bacterium	species		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae		Pelagibacteraceae bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Candidatus Pelagibacterales; Candidatus Pelagibacteraceae; unclassified Pelagibacteraceae				
19	A0A1B2FL48|unreviewed|4Fe-4S	False	-0.07723470902449156	-0.0006827394062544826	0.00920086774675046	-0.016716960168917883	0.004430987601848075	-0.0068644975785547915	0.020012630210315737	-7.000685474228197e-06	-0.006857753745632751	-0.014753709001861116	0.024378424610290897	0.048138837417268404	A0A1B2FL48	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:309857	309857.0	uncultured Pelagibacterales bacterium	species		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales			uncultured Pelagibacterales bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Candidatus Pelagibacterales; environmental samples				
20	A0A2D6MTA2|unreviewed|4Fe-4S	False	-0.07894642484572241	-0.0009322927957998515	0.009353726875768615	-0.01582205518177363	0.0038606462194743073	-0.007373979945068978	0.01877906279927317	0.0003470121566584738	-0.009182128625721342	-0.01511091341825984	0.024384285969732696	0.050434745514513754	A0A2D6MTA2	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2026735	2026735.0	Deltaproteobacteria bacterium	species		Pseudomonadati	Myxococcota	Myxococcia				Deltaproteobacteria bacterium	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; unclassified Myxococcia				
21	A0A2E9GU23|unreviewed|4Fe-4S	False	-0.07906413662159555	-0.001228420866633474	0.009694779770579332	-0.01613290796034695	0.0038566253916564753	-0.0075953202945142715	0.01874390557750807	-0.0005017142988320065	-0.009365534999465002	-0.014564193443977606	0.02404263614797746	0.05015974058850959	A0A2E9GU23	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2026735	2026735.0	Deltaproteobacteria bacterium	species		Pseudomonadati	Myxococcota	Myxococcia				Deltaproteobacteria bacterium	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; unclassified Myxococcia				
22	A0A521WDH5|unreviewed|nitrate	False	-0.07739834024307941	-0.00035341753875638317	0.009020484510438803	-0.01647888762166771	0.0037465816639326408	-0.00835237612312341	0.019767274392426884	0.000773778009138004	-0.008313673585351754	-0.01793209992317942	0.02503130034480417	0.04587967343731003	A0A521WDH5	unreviewed	nitrate reductase (quinone)	taxID:1913989	1913989.0	Gammaproteobacteria bacterium	species		Pseudomonadati	Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria				
23	A0A939B212|unreviewed|nitrate	False	-0.07756800995822301	-0.00031194237959646624	0.008720106144900099	-0.017085402177866436	0.002874670344528662	-0.007753940290448645	0.019135193619102396	0.0009989566527675324	-0.009321920368829279	-0.018121550775485322	0.02460702234117828	0.046365463458717525	A0A939B212	unreviewed	nitrate reductase (quinone)	taxID:1913989	1913989.0	Gammaproteobacteria bacterium	species		Pseudomonadati	Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria				
24	A0A2E8CXT6|unreviewed|nitrate	False	-0.07759311150184957	0.0003308831574939555	0.00863537599821376	-0.016278567344495756	0.003507089331073181	-0.007028218674173599	0.018993621995983288	0.00035290439725742674	-0.010844500338080945	-0.017260473512754417	0.0264584774018111	0.04647350481295203	A0A2E8CXT6	unreviewed	nitrate reductase (quinone)	taxID:2026779	2026779.0	Planctomycetaceae bacterium	species		Pseudomonadati	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae		Planctomycetaceae bacterium	cellular organisms; Bacteria; Pseudomonadati; PVC group; Planctomycetota; Planctomycetia; Planctomycetales; Planctomycetaceae; unclassified Planctomycetaceae				
25	A0A934L3R4|unreviewed|Nitrate	False	-0.08665990703960358	-0.0006954454315206382	0.007539036458813537	0.02449782516365518	0.004293725806590967	-0.006332195581884905	0.019412873512241094	0.0016447783032512318	-0.008194929857816398	-0.017024620072779856	0.026380430913894398	0.041356785588890284	A0A934L3R4	unreviewed	nitrate reductase subunit alpha	taxID:2026780	2026780.0	Planctomycetota bacterium	species		Pseudomonadati	Planctomycetota					Planctomycetota bacterium	cellular organisms; Bacteria; Pseudomonadati; PVC group; Planctomycetota; unclassified Planctomycetota				
26	A0A938HPW6|unreviewed|4Fe-4S	False	-0.07820372638212397	-0.0004587514080035443	0.009426564614988081	-0.0166344033502462	0.0044930393557663355	-0.007522275250977432	0.019442982950782835	0.0004042913050673933	-0.008740062343709928	-0.014996522006685456	0.025571012244258496	0.050206841656821904	A0A938HPW6	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2026786	2026786.0	Rhodospirillales bacterium	species		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodospirillales			Rhodospirillales bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; unclassified Rhodospirillales				
27	A0A1F4CNR0|unreviewed|4Fe-4S	False	-0.07741894649236555	-0.0006429628640308758	0.009229880638020223	-0.015973576175331565	0.0043369148579874665	-0.007645655834333494	0.019559044802690745	0.00048521907241487255	-0.009390125455495633	-0.015596338935020224	0.025931302824651604	0.049946444128509244	A0A1F4CNR0	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:1797495	1797495.0	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_13	species		Pseudomonadati	Pseudomonadota	Betaproteobacteria				Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_13	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; unclassified Betaproteobacteria				
28	A0A933AW90|unreviewed|nitrate	False	-0.0775497003902513	-0.00020407507231986596	0.008091746342168147	-0.017749820338215098	0.005242926722095673	-0.007085638824866411	0.01831920455921599	0.001265036112019419	-0.00921802644342128	-0.01640286749628742	0.024970008850487606	0.05014527583936491	A0A933AW90	unreviewed	nitrate reductase (quinone)	taxID:2026724	2026724.0	Chloroflexota bacterium	species		Bacillati	Chloroflexota					Chloroflexota bacterium	cellular organisms; Bacteria; Bacillati; Chloroflexota; unclassified Chloroflexota				
29	A0A2E6DC43|unreviewed|4Fe-4S	False	-0.08160412360129161	-0.0011613687598664014	0.008909849372651643	-0.015076309766601884	0.00409971052559759	-0.0072764195731378194	0.018828192959953572	0.0009278359833176423	-0.00752234668324803	-0.008843177810572787	0.03212643100985555	0.04462049804697356	A0A2E6DC43	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2026769	2026769.0	Nitrospinota bacterium	species		Pseudomonadati	Nitrospinota					Nitrospinota bacterium	cellular organisms; Bacteria; Pseudomonadati; Nitrospinota/Tectimicrobiota group; Nitrospinota; unclassified Nitrospinota				
30	A0A8T5EKC2|unreviewed|nitrate	False	-0.07973375596587318	-0.000939888856829388	0.008084669455073966	-0.01404470144870433	0.004956051191618043	-0.007238795436796278	0.019244010401629034	0.0001426473151274574	-0.008649846403456646	-0.008254323679065218	0.03303240290163259	0.04135577519192844	A0A8T5EKC2	unreviewed	nitrate reductase (quinone)	taxID:2026739	2026739.0	Methanobacteriota archaeon	species		Methanobacteriati	Methanobacteriota					Methanobacteriota archaeon	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; unclassified Methanobacteriota				
31	A0A2E7ACV6|unreviewed|nitrate	False	-0.08132338821873797	-0.0011463172005996211	0.007702540062091412	-0.014816517341372123	0.0037949629628462444	-0.006880406581153257	0.017601661803554026	-4.918477294153293e-05	-0.009526241483525748	-0.0086631229882297	0.032840121747928365	0.04216919051374755	A0A2E7ACV6	unreviewed	nitrate reductase (quinone)	taxID:2026739	2026739.0	Methanobacteriota archaeon	species		Methanobacteriati	Methanobacteriota					Methanobacteriota archaeon	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; unclassified Methanobacteriota				
32	A0A2E9YG17|unreviewed|nitrate	False	-0.08144974651300174	-0.0013861612441705864	0.007944077035912558	-0.014874877748367057	0.003915779641556637	-0.007052959326011033	0.017678628286632855	-0.00032809770343873636	-0.009408528537426537	-0.007580570968143125	0.03265593385202414	0.04216995685338242	A0A2E9YG17	unreviewed	nitrate reductase (quinone)	taxID:2026739	2026739.0	Methanobacteriota archaeon	species		Methanobacteriati	Methanobacteriota					Methanobacteriota archaeon	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; unclassified Methanobacteriota				
33	A0A2D5X2A7|unreviewed|4Fe-4S	False	-0.07939627376401523	-0.0008079391666203829	0.008044130860431225	-0.014526642945631706	0.003345350890882862	-0.006735642497172698	0.018494569582708568	-0.0003463962440704696	-0.008345906393393889	-0.007833629337882397	0.03272702124617513	0.03785082785371697	A0A2D5X2A7	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2026739	2026739.0	Methanobacteriota archaeon	species		Methanobacteriati	Methanobacteriota					Methanobacteriota archaeon	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; unclassified Methanobacteriota				
34	A0A7J4NLP2|unreviewed|4Fe-4S	False	-0.079346710169122	-0.0008111634014912528	0.008085615825264444	-0.014494970863350788	0.003293743394725745	-0.006720918848545823	0.018409725199078287	-0.00025404556257641926	-0.008064572220902642	-0.007724563587687243	0.03341814180267071	0.037840583170901526	A0A7J4NLP2	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2670411	2670411.0	Candidatus Thalassarchaeaceae archaeon	species		Methanobacteriati	Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales	Candidatus Thalassarchaeaceae		Candidatus Thalassarchaeaceae archaeon	cellular organisms; Archaea; Methanobacteriati; Thermoplasmatota; Candidatus Poseidoniia; Candidatus Poseidoniales; Candidatus Thalassarchaeaceae; unclassified Candidatus Thalassarchaeaceae				
35	A0A7M3ZB36|unreviewed|4Fe-4S	False	-0.079346710169122	-0.0008111634014912528	0.008085615825264444	-0.014494970863350788	0.003293743394725745	-0.006720918848545823	0.018409725199078287	-0.00025404556257641926	-0.008064572220902642	-0.007724563587687243	0.03341814180267071	0.037840583170901526	A0A7M3ZB36	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2163009	2163009.0	Candidatus Poseidoniales archaeon	species		Methanobacteriati	Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			Candidatus Poseidoniales archaeon	cellular organisms; Archaea; Methanobacteriati; Thermoplasmatota; Candidatus Poseidoniia; Candidatus Poseidoniales; unclassified Candidatus Poseidoniales				
36	A0A9E1SM98|unreviewed|4Fe-4S	False	-0.08156318496098537	-0.0009359630101690765	0.00954449832706848	-0.015910819722980314	0.004561023118607783	-0.009139459109512953	0.016905252422299358	-0.0003724110020072174	-0.005443234597872601	-0.01114199063805322	0.02796764754747079	0.03901198222933019	A0A9E1SM98	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2664180	2664180.0	Kordiimonadaceae bacterium	species		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae		Kordiimonadaceae bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Kordiimonadales; Kordiimonadaceae; unclassified Kordiimonadaceae				
37	A0A951YJK5|unreviewed|nitrate	False	-0.0815633393652264	-0.000758098975816469	0.008130243653608552	-0.015457448121328203	0.004292656315802536	-0.0077518235979404946	0.01730123670644667	-0.0005513862503335316	-0.008629992630156135	-0.011972371654011368	0.030494305385526742	0.04151928428824849	A0A951YJK5	unreviewed	nitrate reductase (quinone)	taxID:2026798	2026798.0	Trueperaceae bacterium	species		Thermotogati	Deinococcota	Deinococci	Trueperales	Trueperaceae		Trueperaceae bacterium	cellular organisms; Bacteria; Thermotogati; Deinococcota; Deinococci; Trueperales; Trueperaceae; unclassified Trueperaceae				
38	A0A952QVI5|unreviewed|nitrate	False	-0.08196407789805119	-0.00022200007222369136	0.00916766544289908	-0.014825970781365662	0.004891977860328782	-0.007543841017503612	0.017774649988735857	0.00036410411091746957	-0.007552403267071446	-0.010163354652183907	0.028635146133848856	0.04068757916552815	A0A952QVI5	unreviewed	nitrate reductase (quinone)	taxID:2026798	2026798.0	Trueperaceae bacterium	species		Thermotogati	Deinococcota	Deinococci	Trueperales	Trueperaceae		Trueperaceae bacterium	cellular organisms; Bacteria; Thermotogati; Deinococcota; Deinococci; Trueperales; Trueperaceae; unclassified Trueperaceae				
39	A0A2T5BP09|unreviewed|nitrate	False	-0.08359136268986818	4.989683681282828e-05	0.009970037331187395	-0.015306433486642434	0.005252114188829735	-0.008185658415907175	0.01689742785893477	0.0013882982275906467	-0.0060776104862365074	-0.010478555613613208	0.027986881768863228	0.0436194284931263	A0A2T5BP09	unreviewed	nitrate reductase (quinone)	taxID:365340	365340.0	Rhodovulum imhoffii	species		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Rhodovulum	Rhodovulum imhoffii	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Rhodovulum				
40	A0AAJ0X9N7|unreviewed|nitrate	False	-0.0825831146689467	-8.169399340214653e-05	0.011023016206533589	-0.016419452549842454	0.00442681661784385	-0.008420905329875958	0.018076615908568915	0.00138884739958813	-0.005034196599984068	-0.009280273502359928	0.028516054582282034	0.04657713118170646	A0AAJ0X9N7	unreviewed	nitrate reductase (quinone)	taxID:85075	85075.0	Halochromatium glycolicum	species		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Halochromatium	Halochromatium glycolicum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Chromatiales; Chromatiaceae; Halochromatium				
41	A0A495VAG5|unreviewed|nitrate	False	-0.0823856915850199	5.0955977441459364e-05	0.011118084779119233	-0.015815594249192415	0.004389163302757086	-0.008286323946525872	0.01808614807429673	0.001120386835833837	-0.0043340334676376675	-0.009789350188755052	0.028675082869548632	0.045456433724240124	A0A495VAG5	unreviewed	nitrate reductase (quinone)	taxID:69360	69360.0	Thiocapsa rosea	species		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiocapsa	Thiocapsa rosea	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa				
42	A0A0U5IQ41|unreviewed|nitrate	False	-0.08243156936145514	-0.00021114872926160738	0.011216491936123353	-0.015825799732703927	0.0045937748507914105	-0.008343907853717756	0.018145901719920456	0.0007740009403236364	-0.004087263207712463	-0.00840102260391751	0.028893542838660257	0.04520697916239696	A0A0U5IQ41	unreviewed	nitrate reductase (quinone)	taxID:610332	610332.0	Thiocapsa sp. KS1	species		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiocapsa	Thiocapsa sp. KS1	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa; unclassified Thiocapsa				
